([Action(name='c', args={'filters': 16, 'kernel_size': 3, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.1})], 0.098)
([Action(name='c', args={'filters': 8, 'kernel_size': 3, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.554)
([Action(name='c', args={'filters': 32, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-08})], 0.101)
([Action(name='c', args={'filters': 16, 'kernel_size': 3, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.598)
([Action(name='c', args={'filters': 32, 'kernel_size': 7, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.524)
([Action(name='c', args={'filters': 64, 'kernel_size': 3, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-06})], 0.311)
([Action(name='c', args={'filters': 16, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.281)
([Action(name='c', args={'filters': 64, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-10})], 0.086)
([Action(name='c', args={'filters': 1, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.309)
([Action(name='c', args={'filters': 32, 'kernel_size': 5, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.429)
([Action(name='c', args={'filters': 16, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.542)
([Action(name='c', args={'filters': 1, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-06})], 0.113)
([Action(name='c', args={'filters': 1, 'kernel_size': 3, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.311)
([Action(name='c', args={'filters': 64, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.106)
([Action(name='c', args={'filters': 1, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-10})], 0.104)
([Action(name='c', args={'filters': 16, 'kernel_size': 5, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.391)
([Action(name='c', args={'filters': 16, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.0001})], 0.451)
([Action(name='c', args={'filters': 16, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.091)
([Action(name='c', args={'filters': 64, 'kernel_size': 5, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.1})], 0.119)
([Action(name='c', args={'filters': 16, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.361)
([Action(name='c', args={'filters': 16, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.192)
